#{"t_start": 1769534691.7832222, "env_id": "None"}
r,l,t
0.0,30,47.253829
0.0,43,47.253829
0.0,2,47.286025
0.0,63,47.349173
0.0,2,47.356637
0.0,24,47.360535
0.0,2,47.365715
0.0,33,47.368797
0.0,4,47.376933
0.0,32,47.432682
0.0,22,47.482589
0.0,77,47.582035
0.0,45,47.638778
0.0,118,47.655247
0.0,18,47.693437
0.0,96,47.705585
0.0,18,47.801402
0.0,73,47.816878
0.0,88,47.823512
0.0,38,47.823512
0.0,37,47.878998
0.0,49,47.92876
0.0,17,47.93632
0.0,2,47.941426
0.0,28,47.946944
0.0,29,47.99195
0.0,8,47.998692
0.0,98,47.998692
0.0,2,47.998692
0.0,13,48.008741
0.0,2,48.014966
0.0,7,48.020336
0.0,2,48.050891
0.0,24,48.07905
0.0,10,48.07905
0.0,14,48.110533
0.0,49,48.170931
0.0,60,48.177005
0.0,13,48.181039
0.0,33,48.183031
0.0,175,48.239408
0.0,15,48.288917
0.0,39,48.292229
0.0,37,48.382056
0.0,62,48.424365
0.0,32,48.450701
0.0,2,48.486006
0.0,36,48.494774
0.0,10,48.518143
0.0,89,48.566706
0.0,2,48.574202
0.0,6,48.634012
0.0,79,48.653561
0.0,6,48.655566
0.0,25,48.672861
0.0,46,48.705019
0.0,2,48.712361
0.0,55,48.722954
0.0,6,48.732369
0.0,7,48.772549
0.0,107,48.789008
0.0,27,48.844783
0.0,13,48.860258
0.0,4,48.874629
0.0,67,48.874629
0.0,43,48.914136
0.0,4,48.918304
0.0,19,49.010772
0.0,67,49.04908
0.0,41,49.13045
0.0,57,49.153781
0.0,14,49.243016
0.0,43,49.262543
0.0,100,49.319438
0.0,78,49.326683
0.0,12,49.396969
0.0,42,49.46476
0.0,79,49.540805
0.0,52,49.542809
0.0,2,49.575561
0.0,45,49.579089
0.0,4,49.592775
0.0,66,49.753848
0.0,4,49.76534
0.0,151,49.83493
0.0,73,49.847068
0.0,63,49.896665
0.0,29,49.916806
0.0,10,49.956913
0.0,8,49.9724
0.0,4,49.988918
0.0,323,50.045088
0.0,41,50.054289
0.0,241,50.054289
0.0,4,50.056827
0.0,22,50.058858
0.0,4,50.096899
0.0,4,50.09869
0.0,9,50.108806
0.0,4,50.112814
0.0,110,50.160856
0.0,35,80.414547
0.0,82,80.433444
0.0,10,80.449952
0.0,45,80.502608
0.0,46,80.502608
0.0,25,80.620279
0.0,114,80.781727
0.0,203,80.785442
0.0,10,80.840744
0.0,117,80.86893
0.0,68,80.950864
0.0,24,80.980768
0.0,132,81.082769
0.0,20,81.188924
0.0,150,81.213764
0.0,10,81.248353
0.0,2,81.248353
0.0,163,81.266789
0.0,20,81.350253
0.0,20,81.394538
0.0,6,81.418285
0.0,126,81.420312
0.0,260,81.476691
0.0,18,81.531656
0.0,157,81.647004
0.0,129,81.660278
0.0,4,81.660278
0.0,65,81.782014
0.0,58,81.813868
0.0,193,81.935116
0.0,88,82.084296
0.0,109,82.186697
0.0,27,82.238823
0.0,184,82.301516
0.0,86,82.378943
0.0,40,82.43168
0.0,25,82.436701
0.0,124,82.444805
0.0,7,82.455327
0.0,237,82.460072
0.0,56,82.531693
0.0,21,82.531693
0.0,29,82.616865
0.0,40,82.783347
0.0,4,82.797058
0.0,74,82.797058
0.0,2,82.803307
0.0,34,82.811625
0.0,2,82.811625
0.0,278,82.883587
0.0,213,82.944863
0.0,90,82.995764
0.0,44,83.072156
0.0,54,83.119177
0.0,54,83.136977
0.0,125,83.149176
0.0,113,83.201804
0.0,52,83.201804
0.0,10,83.214576
0.0,8,83.234299
0.0,21,83.269119
0.0,6,83.290021
0.0,15,83.342137
0.0,61,83.361596
0.0,10,83.382415
0.0,52,83.534894
0.0,33,83.538916
0.0,2,83.576975
0.0,114,83.648183
0.0,100,83.722056
0.0,14,83.724061
0.0,67,83.740513
0.0,124,83.807077
0.0,9,83.866267
0.0,29,83.873044
0.0,4,83.879065
0.0,34,83.940003
0.0,76,83.981899
0.0,48,83.990323
0.0,8,84.048954
0.0,49,84.273355
0.0,46,84.480937
0.0,227,84.558444
0.0,19,84.645926
0.0,148,84.680684
0.0,276,84.686695
0.0,222,84.698357
0.0,198,84.846756
0.0,11,84.908823
0.0,62,84.975072
0.0,14,84.979887
0.0,108,85.034383
0.0,232,85.045232
0.0,7,85.056661
0.0,13,85.119925
0.0,94,85.173036
0.0,25,85.19666
0.0,10,85.259512
0.0,274,85.356668
0.0,134,85.361077
0.0,70,85.361077
0.0,42,85.383093
0.0,4,85.395412
0.0,7,85.444047
0.0,18,85.449078
0.0,26,85.497673
0.0,48,85.510939
0.0,15,85.57725
0.0,26,85.590021
0.0,33,85.639161
0.0,22,85.641944
0.0,6,85.658819
0.0,195,85.726114
0.0,25,85.795472
0.0,132,85.839983
0.0,18,85.839983
0.0,157,85.843935
0.0,4,85.853923
0.0,92,85.857501
0.0,5,85.899049
0.0,9,85.903056
0.0,54,85.929172
0.0,27,85.988703
0.0,21,85.998155
0.0,48,86.206654
0.0,84,86.215941
0.0,9,86.264309
0.0,2,86.273763
0.0,79,86.285025
0.0,139,86.322329
0.0,110,86.423827
0.0,23,86.423827
0.0,32,86.472414
0.0,46,86.540589
0.0,105,86.552732
0.0,180,86.560176
0.0,2,86.560176
0.0,27,86.679043
0.0,28,86.722943
0.0,2,86.733613
0.0,61,86.790591
0.0,175,86.872516
0.0,30,86.884702
0.0,11,86.944031
0.0,54,87.017078
0.0,2,87.023627
0.0,2,87.030792
0.0,24,87.102855
0.0,95,87.102855
0.0,65,87.156632
0.0,30,87.176819
0.0,17,87.210546
0.0,16,87.236865
0.0,11,87.303886
0.0,21,87.303886
0.0,151,87.344117
0.0,6,87.364853
0.0,17,87.413634
0.49722221,181,87.475472
0.0,38,87.596894
0.0,40,87.658796
0.0,88,87.808716
0.0,283,87.826903
0.0,140,87.892749
0.0,181,87.898943
0.0,21,88.008686
0.0,42,88.031199
0.0,85,88.086827
0.0,2,88.092994
0.0,100,88.141097
0.0,49,88.159739
0.0,81,88.238504
0.0,38,88.281662
0.0,35,88.311836
0.0,157,88.34615
0.0,33,88.428956
0.0,22,88.443003
0.0,88,88.50294
0.0,37,88.543988
0.0,20,88.564503
0.0,76,88.571043
0.0,17,88.608957
0.0,67,88.637209
0.0,21,88.642012
0.0,100,88.678921
0.0,14,88.715562
0.0,32,88.764978
0.0,48,88.862985
0.0,22,88.870744
0.0,70,88.946018
0.0,21,88.959041
0.0,324,88.996944
0.0,19,89.063337
