#{"t_start": 1769553017.487848, "env_id": "None"}
r,l,t
0.0,120,1083.377175
0.9475,7,1083.456883
0.0,51,1083.517872
0.0,120,1083.548675
0.0,120,1083.695888
0.82,24,1083.715647
0.4975,67,1083.773787
0.0,74,1083.786359
0.895,14,1083.798972
0.9925,1,1083.805309
0.9775,3,1083.805309
0.0,51,1083.883581
0.0,120,1083.933499
0.9475,7,1083.975926
0.6775,43,1084.005348
0.4,80,1084.022929
0.0,120,1106.027909
0.595,54,1106.042012
0.0,120,1106.094855
0.0,2,1106.110694
0.0,4,1106.152552
0.0,30,1106.152552
0.0,120,1106.1838
0.97,4,1106.1838
0.0,16,1106.1838
0.9925,1,1106.19352
0.58,56,1106.207423
0.0,10,1106.312584
0.79,28,1106.395998
0.0,2,1106.409821
0.97,4,1106.440856
0.8575,19,1106.454563
0.0,3,1106.476718
0.715,38,1106.506882
0.9025,13,1106.544543
0.9925,1,1106.552731
0.985,2,1106.570427
0.0,120,1106.639214
0.0,120,1106.639214
0.0,105,1106.716064
0.82,24,1106.811918
0.0,120,1106.897828
0.31,92,1106.929543
0.0,8,1106.995348
0.0,120,1129.268533
0.0,120,1129.388513
0.565,58,1129.511098
0.955,6,1129.556095
0.0,120,1129.625877
0.7225,37,1129.642765
0.0,120,1129.650086
0.0,120,1129.710319
0.5125,65,1129.740559
0.865,18,1129.782135
0.0,120,1129.79461
0.9175,11,1129.897926
0.0,120,1129.904883
0.835,22,1129.93983
0.775,30,1129.968274
0.0,6,1129.987423
0.9625,5,1130.007461
0.88,16,1130.016376
0.9625,5,1130.058383
0.0,120,1130.073785
0.9775,3,1130.082246
0.88,16,1130.12926
0.0,120,1130.158044
0.64,48,1150.8718
0.0,120,1150.906947
0.9925,1,1150.916294
0.115,118,1150.967654
0.985,2,1150.985061
0.0,120,1151.008011
0.0,120,1151.186943
0.22,104,1151.238449
0.0,120,1151.281913
0.9625,5,1151.335729
0.6175,51,1151.455609
0.0,120,1151.475479
0.0,120,1151.544344
0.94,8,1151.544344
0.0,120,1151.573356
0.955,6,1151.586662
0.0,19,1151.601388
0.985,2,1151.620998
0.82,24,1172.71329
0.955,6,1172.757306
0.79,28,1172.805192
0.9925,1,1172.812696
0.0,120,1172.82531
0.3475,87,1172.861785
0.0,120,1172.874495
0.9475,7,1172.926805
0.0,120,1172.986754
0.325,90,1173.014061
0.0,21,1173.096079
0.7975,27,1173.105566
0.9775,3,1173.119559
0.715,38,1173.119559
0.9625,5,1173.160753
0.9925,1,1173.167064
0.0,120,1173.179227
0.9175,11,1173.243052
0.925,10,1173.253123
0.955,6,1173.296521
0.0,97,1173.313037
0.715,38,1173.37932
0.6325,49,1173.385814
0.985,2,1173.399492
0.0,25,1173.429389
0.0,120,1173.470948
0.7675,31,1173.622291
0.79,28,1173.622291
0.67,44,1173.647763
0.0,120,1191.427661
0.91,12,1191.476359
0.0,120,1191.513132
0.0,50,1191.599558
0.535,62,1191.651149
0.0,120,1191.651149
0.0,35,1191.662594
0.0,107,1191.676336
0.97,4,1191.686486
0.295,94,1191.756109
0.0,16,1191.797596
0.7,40,1191.938708
0.0,91,1192.010722
0.8725,17,1192.048184
0.3925,81,1192.055191
0.34,88,1192.067669
0.4975,67,1192.099126
0.955,6,1192.130792
0.4075,79,1192.151472
0.0,60,1192.163998
0.9475,7,1192.181226
0.865,18,1192.2017
0.9625,5,1192.211362
0.94,8,1192.257779
0.85,20,1192.264269
0.0,120,1192.278598
0.925,10,1192.278598
0.97,4,1192.296858
0.8425,21,1212.081975
0.5725,57,1212.092946
0.9325,9,1212.167215
0.0,120,1212.175522
0.0,120,1212.335086
0.6775,43,1212.482563
0.43,76,1212.507767
0.94,8,1212.631705
0.0,120,1212.705842
0.835,22,1212.75481
0.0,120,1212.78145
0.8275,23,1212.801535
0.0,120,1212.815228
0.9475,7,1212.837541
0.9775,3,1212.860408
0.0,120,1212.913465
0.0,120,1212.935446
0.895,14,1212.947931
0.9925,1,1212.956644
0.9325,9,1212.956644
0.0,30,1213.002154
0.0,14,1213.040044
0.0,120,1239.676891
0.91,12,1239.676891
0.9325,9,1239.707402
0.7975,27,1239.751261
0.9175,11,1239.771157
0.0,120,1239.771157
0.97,4,1239.797189
0.0,120,1239.898003
0.4225,77,1239.995166
0.5725,57,1240.100751
0.5425,61,1240.181869
0.0,120,1240.195985
0.9775,3,1240.21636
0.445,74,1240.306193
0.805,26,1240.400545
0.9925,1,1240.407683
0.0,120,1240.415524
0.0,120,1240.442295
0.865,18,1240.546821
0.0,120,1262.280761
0.0,120,1262.393144
0.0,120,1262.589324
0.0,120,1262.673716
0.325,90,1262.776902
0.3925,81,1262.794416
0.0,120,1262.795415
0.4,80,1262.827342
0.8425,21,1262.835852
0.0,120,1262.945466
0.9625,5,1262.977607
0.9175,11,1263.057158
0.9775,3,1263.081996
0.6325,49,1263.157159
0.0,107,1263.188132
0.0,120,1263.232596
0.505,66,1263.307301
0.76,32,1263.326306
0.0,116,1286.73719
0.0,35,1286.791883
0.9925,1,1286.803841
0.355,86,1286.82491
0.8275,23,1286.855433
0.0,120,1286.866477
0.3325,89,1286.878283
0.9775,3,1286.903757
0.9925,1,1286.911781
0.835,22,1286.957788
0.82,24,1287.026942
0.0,120,1287.087946
0.7975,27,1287.100922
0.0,1,1287.100922
0.9925,1,1287.112961
0.6925,41,1287.122941
0.9775,3,1287.137907
0.0,73,1287.167855
0.9775,3,1287.180835
0.0,18,1287.193327
0.9025,13,1287.27687
0.835,22,1287.308737
0.94,8,1287.335217
0.0,82,1287.361852
0.0,64,1287.36985
0.76,32,1287.36985
0.88,16,1287.521138
0.0,120,1287.582098
0.865,18,1287.59808
0.0,120,1287.67801
0.85,20,1287.716664
0.0,34,1287.770082
0.0,95,1287.778435
0.5575,59,1308.242581
0.0,8,1308.294838
