#{"t_start": 1769548066.3942976, "env_id": "None"}
r,l,t
0.0,120,358.163204
0.7975,27,358.176579
0.0,5,358.186941
0.925,10,358.206888
0.0,93,358.211941
0.0,3,358.214595
0.0,3,358.221859
0.775,30,358.230335
0.0,120,358.230371
0.9925,1,358.234012
0.0,94,358.247749
0.0,120,358.252504
0.9325,9,358.262499
0.9175,11,358.271213
0.9625,5,358.275902
0.0,11,358.294278
0.0,108,358.300933
0.2725,97,358.305489
0.9625,5,358.312129
0.0,41,358.32707
0.9475,7,358.327115
0.475,70,358.336668
0.955,6,358.343498
0.7375,35,358.371985
0.805,26,358.396133
0.0,120,358.400467
0.7375,35,358.409606
0.0,120,358.412273
0.0,120,358.423809
0.97,4,358.435343
0.6025,53,365.14935
0.0,120,365.160475
0.64,48,365.179955
0.0,120,365.18262
0.0,120,365.186182
0.9325,9,365.201332
0.0,120,365.204372
0.4375,75,365.227217
0.0,120,365.233558
0.88,16,365.236845
0.0,120,365.255435
0.475,70,365.306196
0.58,56,365.308763
0.0,120,365.329499
0.0,43,365.329527
0.0,120,365.340612
0.8725,17,365.346158
0.0,120,365.36069
0.94,8,365.36601
0.955,6,365.3786
0.97,4,365.387339
0.0,120,373.921721
0.985,2,373.928396
0.64,48,373.935059
0.1975,107,373.938164
0.535,62,373.942877
0.0,120,373.947498
0.22,104,373.956892
0.0,12,373.969346
0.0,120,373.995976
0.97,4,374.005765
0.7225,37,374.010333
0.8275,23,374.019072
0.0,120,374.019105
0.295,94,374.03871
0.6625,45,374.047284
0.6775,43,374.099117
0.0,120,374.104269
0.2125,105,374.115766
0.3775,83,374.120342
0.0,120,374.127784
0.925,10,374.131114
0.805,26,374.161282
0.8425,21,374.176499
0.0,120,382.752051
0.85,20,382.755455
0.1375,115,382.762288
0.715,38,382.762319
0.625,50,382.783288
0.52,64,382.810177
0.9775,3,382.816994
0.985,2,382.821685
0.1,120,382.828185
0.985,2,382.833017
0.0,120,382.837745
0.0,120,382.837773
0.9625,5,382.845554
0.9925,1,382.848179
0.0,120,382.857198
0.94,8,382.857227
0.0,17,382.862386
0.0,120,382.866991
0.0,14,382.894324
0.43,76,382.925197
0.7975,27,382.925233
